Model,Task,Analyte,auroc,auprc,f1,precision,recall,accuracy,balanced_accuracy,brier_score,ece,f1_optimized,precision_optimized,recall_optimized,optimal_threshold,rmse,mae,r2,explained_variance,median_ae,detected_rmse,censored_rmse,concordance_index,subset_accuracy,hamming_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,micro_f1,label_ranking_avg_precision,mean_per_label_auroc,auroc_PFOS,auprc_PFOS,auroc_PFOA,auprc_PFOA,auroc_PFBS,auprc_PFBS,auroc_PFHxS,auprc_PFHxS,auroc_HFPO-DA,auprc_HFPO-DA
voting_ensemble,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6532258064516129,0.1558064516129032,,0.7533291359972727,0.2596735018585385,0.3211424528669675,0.1187975847036451,0.15114235500878734,0.930192652329748,0.6772825199839868,0.671140286380246,0.32741447380702204,0.7001801568564113,0.28796520558714844,0.6450264623559341,0.3275206748250125,0.6927831743433557,0.3554671550735095,,
stacking_ensemble,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6532258064516129,0.1558064516129032,,0.7533291359972727,0.2596735018585385,0.3211424528669675,0.1187975847036451,0.15114235500878734,0.930192652329748,0.6772825199839868,0.671140286380246,0.32741447380702204,0.7001801568564113,0.28796520558714844,0.6450264623559341,0.3275206748250125,0.6927831743433557,0.3554671550735095,,
icp_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6532258064516129,0.1558064516129032,,0.7533291359972727,0.2596735018585385,0.3211424528669675,0.1187975847036451,0.15114235500878734,0.930192652329748,0.6772825199839868,0.671140286380246,0.32741447380702204,0.7001801568564113,0.28796520558714844,0.6450264623559341,0.3275206748250125,0.6927831743433557,0.3554671550735095,,
dummy_classifier,T4,lead,0.5,0.2051548946716233,0.0,0.0,0.0,0.7948451053283767,0.5,0.17234991554904447,0.09635118932917225,0.34046228510323273,0.2051548946716233,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,T4,lead,0.6464986728640458,0.3216665929710154,0.3994314143567875,0.2966916940403566,0.6110171539019087,0.6230483271375464,0.6185854040898917,0.255632388085572,0.2859649681457811,0.3945052971808224,0.31390198599799973,0.530804542159942,0.5544444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_classifier,T4,lead,0.6991935079509133,0.38666937620302755,0.4199144486692015,0.41314005143792376,0.4269147136989611,0.7580173482032219,0.6351959450260832,0.17225421965122223,0.12008214958362938,0.4381827640020808,0.34171737660581475,0.610533945397439,0.32676767676767676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_default,T4,lead,0.6831029901855881,0.37614593960950365,0.4102156640181612,0.38685506315564117,0.4365788837883547,0.742453531598513,0.6289903648175996,0.18388982117176056,0.13692285899578363,0.41265666099334675,0.30351655855240695,0.6443585407103165,0.29707070707070704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_classifier,T4,lead,0.6889028783449367,0.3679724040368241,0.38659930869449616,0.4297960390186225,0.3512925827494564,0.7713011152416357,0.6155003696984997,0.18091404817215553,0.175686433325345,0.42230153371274237,0.3514771997430957,0.5288717081420633,0.41585858585858587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_classifier,T4,lead,0.6299972500867973,0.2798861432688981,0.38948850305021115,0.28796114259280675,0.60159458806475,0.6130855018587361,0.6088229862249417,0.2666463553905487,0.30085828156940997,0.3883209290913552,0.29352126607319484,0.5735684948055085,0.5148484848484849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn1d_classifier,T4,lead,0.6412588542775614,0.31382187327583844,0.3498823529411765,0.34097684017427193,0.3592655230732061,0.726096654275093,0.5900218860065457,0.20084433257579803,0.2043930130066925,0.37986469775223686,0.2717527060782681,0.6308287025851655,0.39606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm_classifier,T4,lead,0.691836706682735,0.3831178740428126,0.0,0.0,0.0,0.7948451053283767,0.5,0.17476708538845206,0.14567301312080533,0.42006636736287334,0.35238251187162273,0.5199323508093743,0.3564646464646465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catboost_classifier,T4,lead,0.6950990948066778,0.4031237650122436,0.42835214446952596,0.3419838523644752,0.5730852863010389,0.6861957868649319,0.6442378289823978,0.2294999846403751,0.2852536553139293,0.42231473771856787,0.32219540083852116,0.6127083836675525,0.47525252525252526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
